priority,prospect,website,type,fit_level,contact_route,first_angle,status,last_contact_date,next_action,notes
1,Ofertaman,https://www.ofertaman.com/,tech offers / deals blog,High,public contact page,audit 2-3 offer/category pages to detect CTA friction and affiliate gaps,not_contacted,,send_initial_message,Keep the ask small and specific
2,SuperChollos,https://superchollos.es/,coupon/deals blog,High,public contact form,identify hub/listing cards where offers could expose clearer CTAs,not_contacted,,send_initial_message,Avoid broad SEO language
3,Ofertium,https://ofertium.es/,offers/collaboration site,High,public contact/collaboration page,private audit for commercial hubs with collaboration/publicity angle,not_contacted,,send_initial_message,Do not imply partnership
4,Qué Gangas,https://quegangas.com/,deals/reviews/collaboration site,High,public contact form,review product/deal listing pages and detect friction before merchant CTA,not_contacted,,send_initial_message,Ask permission to review only 2-3 pages first
5,Chollo.es,https://www.chollo.es/,deals/coupons,Medium,public contact page,quick sample audit of offer categories and CTA path,not_contacted,,send_initial_message,Do not pitch a full-site audit first
6,Capitán Ofertas,https://www.capitanofertas.com/,editorial offers / affiliate content,Medium,public contact/business route,audit guides/offers where monetized links are present but hub/listing CTAs may be buried,not_contacted,,hold_for_second_batch,Confirm contact route before sending
7,Cuponista,https://cuponista.es/,coupons/partners,Medium,public partners/contact page,partner-oriented audit for coupon/category pages,not_contacted,,hold_for_second_batch,Avoid guaranteed commercial lift language
8,Compradicción,https://www.compradiccion.com/,Webedia commerce/offers content,Medium,Webedia/contact/publicity route,larger publisher pilot focused on a small sample not a full audit,not_contacted,,hold_for_second_batch,Larger media group may be slower to answer
9,Xataka Selección / Xataka,https://www.xataka.com/,commerce content / affiliate offers,Medium,Webedia/contact/publicity route,ecommerce/editorial team pilot for selection/offers pages,not_contacted,,hold_for_second_batch,Contact routing may be indirect
10,AhorroVip,https://www.ahorrovip.com/,deals/community/merchant compensation model,Medium,partner/contact links,audit selected category/listing pages for measurable CTA friction,not_contacted,,hold_for_second_batch,Confirm public contact route before sending
